,ID,processed_question_locution,question_type,processed_preceding_locution,processed_response_locutions,response_length,response_loc_count,WordperLoc,EMperLoc,DefIllperLoc,MAperLoc,RAperLoc,CAperLoc,question_speaker,preceding_speaker,response_speaker,same_speaker_pq,same_speaker_rq,question_speaker_role,preceding_speaker_role,response_speaker_role
10,17932_3,Which is it in your crew,Pure Questioning,"You have Andy saying it will get going on June 1st but fully embedded, all bells and whistles, no","['the 25,000 people who are needed to operate the system and deliver 10,000 track and traces per day will be in place by 1st June ', '24,000 of those 25,000 have been recruited already and are in advance stages of training, so will be ready to deploy on 1st June ', 'the app will be a few weeks after that, which will further augment the system ', 'We will also learn a lot more about Coronavirus by using it but we are going to be ready to go on 1st June ', 'It will really help us understand how the disease spreads']",98,5,19.6,0.0,0.2,0.2,1.0,0.0,Fiona Bruce,Fiona Bruce,Chris Philp,2,1,1,1,2
11,17934_1,Do you have any concerns about that,Pure Questioning,"The system is going to start on June 1st, track and trace","['from the perspective of all of the evidence pointing to children not being badly affected if they do catch it and not seemingly being as infectious as adults ', 'considering all of the measures that schools have been put in place to make sure that children are safe ', 'considering the fact that they are missing out on so much of their education by being at home ', 'all of this is about assessing risk and weighing up the different probabilities ', 'on a balance of probabilities overall after now two months at home with us trying to home educate them as well as we can while also working I think that on balance my children are better off in school']",126,5,25.2,0.4,0.2,0.2,0.8,0.0,Fiona Bruce,Fiona Bruce,Camilla Tominey,2,1,1,1,2
12,17937_1,Do you think the government should help by bailing us out,Pure Questioning,could also be the closure of many small independent theatres,"['as the country starts to get back on its feet certain industries and certain companies are going to have to -- they can contribute as profitable industries ', 'can contribute substantially to the revitalising and the reopening of Britain ', 'It is incumbent upon us to sometimes have these difficult conversations with government ', 'we need to tell them the specific challenges that we are going to have ', 'in order to play that active role in reactivating the economy']",134,5,26.8,0.2,0.0,0.2,0.4,0.0,Gerald Amin,Gerald Amin,James Graham,2,1,3,3,2
13,17944_1,What are parents supposed to make of that,Pure Questioning,Lots of schools are not,"['they are probably a bit confused by it all ', 'It is a row that has been going on ', 'I am not sure that helps parents ', 'I would agree with Helle ', 'Let head teachers sit in the driving seat and decide when it is safe to open school ', 'Parents will probably look most to head teachers for advice about safety of their kids ', 'it should also be done in consultation with local councils ', 'the circumstances will differ from one place to another in terms of the teaching staff ', 'Some of them may be self-isolating ', 'There may be issues they have to deal with when we look at the staff ', 'There will be physical circumstances at the school']",136,11,12.363636363636363,0.3636363636363636,0.0,0.1818181818181818,0.4545454545454545,0.0,Fiona Bruce,Fiona Bruce,Andy Burnham,2,1,1,1,2
14,17944_2,Are some less risk averse,Pure Questioning,What are parents supposed to make of that,"['they are probably a bit confused by it all ', 'It is a row that has been going on ', 'I am not sure that helps parents ', 'I would agree with Helle ', 'Let head teachers sit in the driving seat and decide when it is safe to open school ', 'Parents will probably look most to head teachers for advice about safety of their kids ', 'it should also be done in consultation with local councils ', 'the circumstances will differ from one place to another in terms of the teaching staff ', 'Some of them may be self-isolating ', 'There may be issues they have to deal with when we look at the staff ', 'There will be physical circumstances at the school']",136,11,12.363636363636363,0.3636363636363636,0.0,0.1818181818181818,0.4545454545454545,0.0,Fiona Bruce,Fiona Bruce,Andy Burnham,2,1,1,1,2
15,17944_3,Have some made better preparation,Pure Questioning,Are some less risk averse,"['they are probably a bit confused by it all ', 'It is a row that has been going on ', 'I am not sure that helps parents ', 'I would agree with Helle ', 'Let head teachers sit in the driving seat and decide when it is safe to open school ', 'Parents will probably look most to head teachers for advice about safety of their kids ', 'it should also be done in consultation with local councils ', 'the circumstances will differ from one place to another in terms of the teaching staff ', 'Some of them may be self-isolating ', 'There may be issues they have to deal with when we look at the staff ', 'There will be physical circumstances at the school']",136,11,12.363636363636363,0.3636363636363636,0.0,0.1818181818181818,0.4545454545454545,0.0,Fiona Bruce,Fiona Bruce,Andy Burnham,2,1,1,1,2
16,17944_4,How can parents make any decent assessment,Pure Questioning,Have some made better preparation,"['they are probably a bit confused by it all ', 'It is a row that has been going on ', 'I am not sure that helps parents ', 'I would agree with Helle ', 'Let head teachers sit in the driving seat and decide when it is safe to open school ', 'Parents will probably look most to head teachers for advice about safety of their kids ', 'it should also be done in consultation with local councils ', 'the circumstances will differ from one place to another in terms of the teaching staff ', 'Some of them may be self-isolating ', 'There may be issues they have to deal with when we look at the staff ', 'There will be physical circumstances at the school']",136,11,12.363636363636363,0.3636363636363636,0.0,0.1818181818181818,0.4545454545454545,0.0,Fiona Bruce,Fiona Bruce,Andy Burnham,2,1,1,1,2
17,17945_1,What is the consequence for children who can't go to school.,Pure Questioning,That's an important point to think about.,"['We will have children -- I mean for practically lose a whole year of education. \xa0 ', ""They have simply can't remember what they learned six months ago. "", ""So I am a little bit worried that if you last too long, we will be taking a little bit of the chirp's future twice.  "", 'First we will take almost a year of their education an then we are also handing them a very, very large bill for a lockdown which has become very, very expensive. ', 'So there is these balances to find but I would just again say find a good balance with also the teachers and take the heat out of it.  ', 'but I would just again say find a good balance with also the teachers and take the heat out of it. ', 'The only way this can be solved is by being pragmatic']",122,7,17.428571428571427,0.1428571428571428,0.0,0.4285714285714285,0.4285714285714285,0.0,Helle Thorning-Schmidt,Helle Thorning-Schmidt,Helle Thorning-Schmidt,2,2,2,2,2
18,17945_2,"Claire, what do you think of what you have heard?",Pure Questioning,The only way this can be solved is by being pragmatic,"[""I quite like Helle's idea of using venues creative leave.  "", 'I think what I fear is that the value of education will have been taken away from children and I think this is every child.  ', ""It is children from reception right up to the 6 formers that have lost out on their 'A' levels and are actually grieveing because of that "", 'but also I think what I fear is that there will be a distrust about social contract']",79,4,19.75,0.75,0.25,0.5,0.25,0.0,Fiona Bruce,Helle Thorning-Schmidt,Claire Cooper,1,1,1,2,3
19,17945_3,What's your view.,Pure Questioning,"Claire, what do you think of what you have heard?","[""I quite like Helle's idea of using venues creative leave.  "", 'I think what I fear is that the value of education will have been taken away from children and I think this is every child.  ', ""It is children from reception right up to the 6 formers that have lost out on their 'A' levels and are actually grieveing because of that "", 'but also I think what I fear is that there will be a distrust about social contract']",79,4,19.75,0.75,0.25,0.5,0.25,0.0,Fiona Bruce,Fiona Bruce,Claire Cooper,2,1,1,1,3
20,17952_1,"Lawrence says ""if it is safe to go back to school, why isn't it safe for the house of Parliament or are our children test subjects""",Pure Questioning,,"['No, not at all ', ""From 2nd June, so that's a day later, these arrangements to vote remotely are being ended "", 'It is important that the national Parliament does its job scrutiniseing what the government is doing, properly asking questions ', ""Things like bill and ledge late I have submit ease haven't been sitting of "", ""the let's get Parliament working and showing leadership doing what we are asking everybody else to do, which is go to work if you safely can""]",87,5,17.4,0.0,0.2,0.2,0.4,0.0,Fiona Bruce,,Fiona Bruce,0,2,1,0,1
21,17957_1,Is that the kind of level of contact tracing the government is going to be able to do from 1st June,Pure Questioning,Each one was quarantined,"['The capacity will be 10,000 traces every day ', 'The Prime Minister in the house of Commons on Wednesday was categoric ', 'We need to be ready to go on 1st June ', 'We need 25,000 people to do it ', '24000 have been recruited already ', 'We will get to 25,000 by 1st June ', 'We are going to get there']",52,7,7.428571428571429,0.0,0.0,0.2857142857142857,0.5714285714285714,0.0,Fiona Bruce,Fiona Bruce,Chris Hopson,2,1,1,1,2
22,17957_3,Having the app is not critical to contact tracing,Pure Questioning,The app seems to be having a few teething problems,"['Experience in the Isle of Wight shows you can do effective contatracing without the app ', 'the app is helpful ', 'it adds something to it ', ""and we will get that in a few weeks' time "", 'There are all sorts of other innovations happening ', 'Matt Hancock talked about a test being deployed today that gives you a result in 20 minutes ', 'We have had advances in antibody testing today as well ', 'the science is really beginning to catch up with this disease ', 'For me the science is really what gives me hope for the future ', 'hope we can move beyond the strange circumstances of the last few weeks and return to something of a normal life ', 'as the months go by']",119,11,10.818181818181818,0.0,0.0,0.2727272727272727,0.6363636363636364,0.0,Fiona Bruce,Fiona Bruce,Chris Hopson,2,1,1,1,2
23,17958_1,when can we expect to see the full implementation of test track and trace,Pure Questioning,what will be in place on 1st June will be missing many components including the contact tracing ap,"['Full implemenation, according to the government anyway, is critical in terms of easing the lockdown and getting children back to school ', 'when are we going to see test, track and trace fully amounted, not just the kind of the beginnings of it, but fully implemented ', 'We have seen the new app being tested in the Isle of Wight ', 'We have learned from that experience ', 'One of the things we have learned is we can effectively deploy test, track and trace with the manual tracers ', 'We have recruited 24000 of those already ', 'We will be up to the full complement of 25,000 by 1st June ', 'the service will be fully operational on 1st June, able to track and trace 10,00from 1st June onwards ', 'The app we think will be ready to deploy a few weeks after that ', 'the two are complementary ', 'the system will work comprehensively from 1st June ', ""which is one of the government's critical test "", 'You will help us learn more about the way this disease spreads ', 'It will help us stop it spreading any further']",180,14,12.857142857142858,0.0714285714285714,0.0714285714285714,0.2142857142857142,0.2857142857142857,0.0,Alfie,Alfie,Fiona Bruce,2,1,3,3,1
24,17958_2,"when are we going to see test, track and trace fully amounted, not just the kind of the beginnings of it, but fully implemented",Pure Questioning,"Full implemenation, according to the government anyway, is critical in terms of easing the lockdown and getting children back to school","['It is a really important step forward in the way we are dealing with this disease ', 'it is good news']",20,2,10.0,0.0,0.0,0.0,1.0,0.0,Fiona Bruce,Fiona Bruce,Fiona Bruce,2,2,1,1,1
25,17961_2,Can we really afford to support theefters as well,Pure Questioning,is spending an absolute fortune on supporting companies and if you recall owe schemes,[''],0,0,0.0,0.0,0.0,0.0,0.0,0.0,Fiona Bruce,Fiona Bruce,,2,0,1,1,0
26,17962_1,"In terms of test, track and trace how important was that in terms of Denmark being able to cope with the pandemic",Pure Questioning,Yes,"['It was very hard ', 'It would be difficult to find someone who found it would be a good idea to wait a good week in the for the loved ', 'The lockdown simply came too late in this country ', 'that caused a lot of damage']",47,4,11.75,0.25,0.25,0.5,0.5,0.0,Fiona Bruce,Helle Thorning-Schmidt,Helle Thorning-Schmidt,1,1,1,2,2
27,17962_2,How is that going to happen,Assertive Questioning,The next thing we have to find out is how are we going to quarantine these people,[''],0,0,0.0,0.0,0.0,0.0,0.0,0.0,Helle Thorning-Schmidt,Helle Thorning-Schmidt,,2,0,2,2,0
28,17963_1,Why didn't you quarantine at the beginning of this crisis,Rhetorical Questioning,Soon,"['People will be askinging why has the fileing come so late ', 'Why is it countries like South Korea were on top of this at the beginning of the pandemic hitting their nation whereas we only to be getting to GRIPS with some of that technological response at the end of it']",51,2,25.5,0.0,0.0,0.0,0.5,0.0,Camilla Tominey,Camilla Tominey,Camilla Tominey,2,2,2,2,2
29,17963_2,Why is it countries like South Korea were on top of this at the beginning of the pandemic hitting their nation whereas we only to be getting to GRIPS with some of that technological response at the end of it,Pure Questioning,People will be askinging why has the fileing come so late,[''],0,0,0.0,0.0,0.0,0.0,0.0,0.0,Camilla Tominey,Camilla Tominey,,2,0,2,2,0
30,17964_1,was bailing out theatres an issue,Pure Questioning,"in Denmark, given the lockdown was relatively short and not particularly strict",[''],0,0,0.0,0.0,0.0,0.0,0.0,0.0,Andy Burnham,Andy Burnham,,2,0,2,2,0
31,17966_1,what are we ending the lockdown for,Rhetorical Questioning,In London alone tourists bring in £2 billion of cash every year specifically for London theatre just to pay for itself,[''],0,0,0.0,0.0,0.0,0.0,0.0,0.0,Helle Thorning-Schmidt,Helle Thorning-Schmidt,,2,0,2,2,0
32,17968_1,"James, coming back to the question, would you rather be served by someone",Pure Questioning,After all this we also have to evaluate and create new standards together,[''],0,0,0.0,0.0,0.0,0.0,0.0,0.0,Helle Thorning-Schmidt,Helle Thorning-Schmidt,,2,0,2,2,0
33,17971_2,can you see the government extending a helping hand,Pure Questioning,It attracts tourists to this country,"['In terms of what we have done already I would strongly encourage every arts organisation to use all of the existing schemes ', 'James mentioned the for other scheme already ', ""Every organisation in the position, for example, of theatre should be using that scheme to have their staff who can't work paid at 80% of their Sarl each "", 'Government is funding that and has recently extended it ', 'There are significant loan schemes available under the government backed loan schemes that have paid out now over £20 billion ', 'there is no question the government has made a massive outlay when it comes to support small business ', ""There are a lot of people employed in the theatre who can't access the for owe scheme and lot of theatres are saying the loans don't apply to them which is why they are asking for the money "", 'Is there anything additional the government can do']",170,8,21.25,0.0,0.125,0.125,0.0,0.0,Camilla Tominey,Chris Philp,Chris Philp,1,1,2,2,2
34,17971_3,Is there anything additional the government can do,Pure Questioning,There are a lot of people employed in the theatre who can't access the for owe scheme and lot of theatres are saying the loans don't apply to them which is why they are asking for the money,[''],0,0,0.0,0.0,0.0,0.0,0.0,0.0,Chris Philp,Chris Philp,,2,0,2,2,0
35,17972_1,Should there be a lifeline thrown to the arts,Pure Questioning,Enough field theatre has gone into liquidation,"['Definitely ', ""what's needed really in this timeline "", 'want to give theatre and creative arts industry a future ', 'you have to put a date on it ', 'the public can say ""brilliant. From September I can look forward to going back to the theatre"" ', 'From September I can look forward to going back to the theatre']",84,6,14.0,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.3333333333333333,0.0,James Graham,James Graham,Camilla Tominey,2,1,2,2,2
36,17975_1,Fog fog would you rather be served by someone wearing a face mask,Pure Questioning,Fog fog you are not keen on wearing masks,"[""I just can't wait to be served by someone "", 'A pint would go down baling ', 'I this it would become the new normal ', 'I think it is individual choice  ', ""I don't know how you would legislate for it "", 'Andy, where do you stand on the discussion about face coverings or face masks']",66,6,11.0,0.3333333333333333,0.0,0.5,0.1666666666666666,0.0,Helle Thorning-Schmidt,Helle Thorning-Schmidt,James Graham,2,1,2,2,2
37,17975_2,"Andy, where do you stand on the discussion about face coverings or face masks",Pure Questioning,I don't know how you would legislate for it,"['I think we are going to have to work quite hard to build confidence in the public to go back into the industries and support the cultural venues and restaurant and bars ', 'If they can help build that confidence, then why not ', 'sometimes people can see a face mask and think it is someone being distruct if you will around them ', 'As James said, it is the opposite ', 'It is quite a public spirited thing to do ', 'It is reducing the risk of you giving the infection to other people']",99,6,16.5,0.3333333333333333,0.0,0.1666666666666666,0.5,0.1666666666666666,Fiona Bruce,James Graham,Andy Burnham,1,1,1,2,2
38,17975_3,"If they can help build that confidence, then why not",Rhetorical Questioning,I think we are going to have to work quite hard to build confidence in the public to go back into the industries and support the cultural venues and restaurant and bars,[''],0,0,0.0,0.0,0.0,0.0,0.0,0.0,Andy Burnham,Andy Burnham,,2,0,2,2,0
39,18266_1,Does the Panel feel this has been undermined in any way by the events of this last week,Pure Questioning,given the success of track and trace we rely significantly on the public's trust and the Government and compliance with the rules,['It feels like we have done nothing else but talk about the events of the last week and of course Dominic Cummings'],25,1,25.0,1.0,1.0,1.0,0.0,0.0,Alison Goldie,Alison Goldie,Fiona Bruce,2,1,3,3,1
40,18267_1,why don't Labour ask for him to go,Assertive Questioning,,"['Kier Starmer said clearly if he was Prime Minister, he have would have sacked him ', 'there is now over 60 MPs that have publicly said he should go ', 'There are over 70 that have e-mailed back their constituents ', 'The public are incredibly angry ', 'Douglas Ross said in his letter when he resigned this week and I think this is crucial, that many of the public have made huge sacrifices including not being able to hold the hand of loved ones when they are dying.  How could he possibly say to his constituents they were wrong and Dominic Cummings was right']",137,5,27.4,0.6,0.0,0.0,0.2,0.0,Fiona Bruce,,Ian Murray,0,1,1,0,2
41,18267_2,do you feel compliance may have been undermined by the events of the last few days,Pure Questioning,"Douglas Ross said in his letter when he resigned this week and I think this is crucial, that many of the public have made huge sacrifices including not being able to hold the hand of loved ones when they are dying.  How could he possibly say to his constituents they were wrong and Dominic Cummings was right","['The question is really about what is the impact of that and what we have heard from our members who are CEOs of hospitals, GPs, all across the health system ', 'People are worried that public health messages are being undermined ', 'They are already hearing that people are making decisions they might not have otherwise made ', ""That's really worrying "", ""in order for these public measures, whether lockdown, test, track and trace, any of these things to work, we need to have a really clear message that's not open to too much interpretation and discretion "", 'we need to have this public feeling that we are all in it together']",132,6,22.0,0.0,0.0,0.3333333333333333,0.5,0.0,Fiona Bruce,Ian Murray,Layla McCay,1,1,1,2,2
42,18271_1,"Are you worried people may now -- the comment from Keith, ""move on and I don't want to talk about it anymore""",Pure Questioning,,"['What we have seen so far is people really consciously following guidance ', 'the guidance has included recognising that some situations will be more difficult ', 'For instance, if you are looking after somebody who is particularly vulnerable, have a childcare situation']",43,3,14.333333333333334,0.0,0.0,0.0,0.3333333333333333,0.0,Fiona Bruce,,Helen Whately,0,1,1,0,2
43,18272_1,what I am asking is whether or not you feel it would make any difference in terms of compliance generally,Pure Questioning,,"['yes, it will ', 'like Alison said, there is people with integrity out there and people who do the right thing for society and their family ', 'there is people with integrity out there and people who do the right thing for society and their family ', 'there is other people like Dominic Cummings looks for the loophole and looks for the cheap way ', 'You are cheating society by doing this ', 'Ultimately you are putting lives at risk ', 'Behaviour breeds behaviour ', 'especially with someone so influential']",64,8,8.0,0.0,0.125,0.125,0.5,0.0,Fiona Bruce,,Eileen Unknown,0,1,1,0,3
44,18273_1,Has it had any impact on whether you will be more or less confined as we go into test and protect or test and isolate now,Pure Questioning,all of these are key considerations as we think about what next,"['no, from a personal level I would follow the guidelines ', ""I've got enough integrity to do that "", 'it will have an impact on some people ', 'who are just fed up with the whole idea that someone can get away with something when the rest are not supposed to']",57,4,14.25,0.5,0.25,0.5,0.25,0.0,Fiona Bruce,Layla McCay,Alison,1,1,1,2,3
45,18273_2,Anyone on the Panel think it wouldn't make that much of a difference,Pure Questioning,who are just fed up with the whole idea that someone can get away with something when the rest are not supposed to,"['it undermines the message ', ""had it been an MP, they wouldn't have got away with it "", ""If it was anyone else, they wouldn't have got away from it "", 'this person is so close and influential to Boris Johnson ', 'is what rocks my confidence']",55,5,11.0,0.2,0.2,0.6,0.0,0.0,Fiona Bruce,Alison,Eileen,1,1,1,3,3
46,18275_1,"When you don't know all the people you have been closer than 2-metre contact with, without the app how are you going to find them",Pure Questioning,"it is not always going to be possible, particularly in a work environment","['you will find a \xa0lot of people will know people they have spent close contact with for a sustained period of time ', ""That's what you would talk through with the tracers "", 'So they can contact them ', 'This is a known way of dealing with a pandemic and controlling it ', 'So we are not making this up ', 'This is a system that is known to work']",68,6,11.333333333333334,0.1666666666666666,0.0,0.0,0.6666666666666666,0.0,Fiona Bruce,Fiona Bruce,Helen Whately,2,1,1,1,2
47,18284_1,"Is that what your constituents were saying to you when it when it first broke, this story",Pure Questioning,what really matters is us having the pandemic under control and being able to get back to life much newer to normal,"['I have received e-mails from constituents ', 'every MP has ', 'constituents who have talked about some of the sacrifices they have made and things they have missed out on ', ""I don't think we should suggest for a moment that lockdown is anything other than very hard "", ""what's really important is that we now have the infection rate under control and falling "", 'we are in a position to ease some of the lockdown measures ', 'launching NHS test and trace ', 'referred to by Alison ', 'that is so important to continuing to keep it under control ', 'we can get life going again']",113,10,11.3,0.1,0.1,0.2,0.5,0.0,Fiona Bruce,Helen Whatley,Helen Whatley,1,1,1,3,3
48,18285_2,why have other nations done it faster,Pure Questioning,,"['it has to be yes ', 'This is one of the many, many things that will be considered by the inevitable series of public enquiries that are going to follow the eventual conclusion of this emergency ', 'one of the ironies here is that, you know, one of the fiercest critics of what you might term disfunction of the British state or the Whitehall apparatus and so on is one Dominic Cummings ', 'I happen to think some of his diagnosis is quite persuasive ', 'He is now in a position to do something about it ', 'he is discovering curing something is rather more difficult than diagnoseing it']",131,6,21.83333333333333,0.3333333333333333,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.0,Matt Unknown,,Alex Massie,0,1,3,0,2
49,18285_3,"Coming to Matt's questions, why have other nations done it faster",Pure Questioning,,"['it has to be yes ', 'This is one of the many, many things that will be considered by the inevitable series of public enquiries that are going to follow the eventual conclusion of this emergency ', 'one of the ironies here is that, you know, one of the fiercest critics of what you might term disfunction of the British state or the Whitehall apparatus and so on is one Dominic Cummings ', 'I happen to think some of his diagnosis is quite persuasive ', 'He is now in a position to do something about it ', 'he is discovering curing something is rather more difficult than diagnoseing it']",131,6,21.83333333333333,0.3333333333333333,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.0,Fiona Bruce,,Alex Massie,0,1,1,0,2
50,18285_4,could the UK Governments learn from these and do it faster themselves?,Pure Questioning,,"['it has to be yes ', 'This is one of the many, many things that will be considered by the inevitable series of public enquiries that are going to follow the eventual conclusion of this emergency ', 'one of the ironies here is that, you know, one of the fiercest critics of what you might term disfunction of the British state or the Whitehall apparatus and so on is one Dominic Cummings ', 'I happen to think some of his diagnosis is quite persuasive ', 'He is now in a position to do something about it ', 'he is discovering curing something is rather more difficult than diagnoseing it']",131,6,21.83333333333333,0.3333333333333333,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.0,Matt Unknown,,Alex Massie,0,1,3,0,2
51,18285_5,could the UK Governments learn from these and do it faster themselves?,Pure Questioning,,"['it has to be yes ', 'This is one of the many, many things that will be considered by the inevitable series of public enquiries that are going to follow the eventual conclusion of this emergency ', 'one of the ironies here is that, you know, one of the fiercest critics of what you might term disfunction of the British state or the Whitehall apparatus and so on is one Dominic Cummings ', 'I happen to think some of his diagnosis is quite persuasive ', 'He is now in a position to do something about it ', 'he is discovering curing something is rather more difficult than diagnoseing it']",131,6,21.83333333333333,0.3333333333333333,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.0,Fiona Bruce,,Alex Massie,0,1,1,0,2
52,18286_1,"This track and trace system tell, what if nobody volunteers themselves",Assertive Questioning,,"['If you put yourself forward, you realise you have symptoms, you realise you are going to be in quarantine for the next few weeks ', 'All the other people you mention you have been in contact with for a sustained period of time or closer than 2 metres you are effectively dobbing them in ', 'they are going to have to self-isolate as well ', 'You have the same issue in Scotland as in England ', ""What if people don't put themselves forward""]",86,5,17.2,0.0,0.0,0.0,0.2,0.0,Ruth,,Fiona Bruce,0,1,3,0,1
53,18286_2,What if people don't put themselves forward,Assertive Questioning,You have the same issue in Scotland as in England,"['The reason we have been successful in reducing the prevalence of Coronavirus is because of massive volumes of public participation and compliance ', 'The same applies to the track, trace, self-isolate and support strategy, test and protect that we are putting out in Scotland ', 'It relies on people coming forward where they have symptoms, indicating they have those symptoms and then for us pursuing the contact ', 'There will be privacy applied, essentially the source of the virus that has been drawn to attention of other individuals, but it fundamentally relies on public participation, public trust and public confidence ', 'we need to have that similar level of communication and consent from members of the public in wrestling with the contact tracing strategy']",164,5,32.8,0.2,0.0,0.2,0.4,0.0,Fiona Bruce,Fiona Bruce,John Swinney,2,1,1,1,2
54,18287_1,What was different here,Rhetorical Questioning,she resigned within 24 hours,[''],0,0,0.0,0.0,0.0,0.0,0.0,0.0,John Swinney,John Swinney,,2,0,2,2,0
55,18289_1,What do you do without the app,Pure Questioning,Correct,"['It goes hand in hand with social distancing ', ""If you had been keeping 2 metres apart, that wouldn't count as a contact""]",22,2,11.0,0.0,0.5,0.5,0.5,0.0,Fiona Bruce,Helen Whately,Helen Whately,1,1,1,2,2
56,18289_2,"What do you do about all the people who you have been in contact with when you don't know their name, address or phone number, people you were on public transport with or a shopkeeper",Pure Questioning,What do you do without the app,"['It goes hand in hand with social distancing ', ""If you had been keeping 2 metres apart, that wouldn't count as a contact""]",22,2,11.0,0.0,0.5,0.5,0.5,0.0,Fiona Bruce,Fiona Bruce,Helen Whately,2,1,1,1,2
57,18289_3,without the app how are you going to know the people we don't have details of,Pure Questioning,"If you had been keeping 2 metres apart, that wouldn't count as a contact",[''],0,0,0.0,0.0,0.0,0.0,0.0,0.0,Fiona Bruce,Helen Whately,,1,0,1,2,0
